Color,Discount Price,Original Price,URL,Dimensions,CPU,GPU_Model,Screen,Storage,Ram_Model,Battery,RAM,Weight,Storage_Model,GPU
Silver,"44,150,000 ","44,650,000",https://meghdadit.com/product/134503/hp-fd0237nia-c-core-i7-1355u-8gb-1tb-ssd-2gb-full-hd-laptop/,359x236x18 mm,,Nvidia Gforce GeForce MX550 GDDR6 - 2GB,FHD IPS 1080 * 1920,1 TB HDD,DDR4,41Wh,16 GB,1.59 kg,SSD,
Black,"45,388,000 ","45,388,000 ",https://meghdadit.com/product/123835/hp-omen-16-c0002dx-a-ryzen-7-5800h-16gb-1tb-ssd-8gb-rx6600m-full-hd-ips-laptop/,369x248x23 mm,AMD Ryzen 7 5800H 3.2 Ghz,AMD Radeon Radeon RX6600M GDD6,IPS 1080 * 1920,1 TB HDD,DDR4,70 Wh,16 GB,2.3 kg,SSD,8 GB 
Black,"47,480,000 ","47,480,000 ",https://meghdadit.com/product/123845/hp-omen-16-c0002dx-b-ryzen-7-5800h-32gb-1tb-ssd-8gb-rx6600m-full-hd-ips-laptop/,369x248x23 mm,AMD Ryzen 7 5800H 3.2 Ghz,AMD Radeon Radeon RX6600M GDD6,IPS 1080 * 1920,1 TB HDD,DDR4,70 Wh,32 GB,2.3 kg,SSD,8 GB 
Silver,"139,000,000 ","140,000,000",https://meghdadit.com/product/123560/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-2tb-ssd-4gb-rtx-a20/,323.28 * 228.32 * 18.94 mm,INTEL i7-11370H 3.3 Ghz,Nvidia Gforce RTX™ A2000,PixelSense™ Display 1600 * 2560,2 TB HDD,DDR4,Battery Capacity Nominal (WH): 58.0Battery Capacity Min (WH): 56.3,32 GB,1.8 kg,SSD,4 GB
Silver,"93,383,000 ","94,383,000",https://meghdadit.com/product/123563/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-16gb-512gb-ssd-4gb-rtx-3/,323.28 * 228.32 * 18.94 mm,INTEL i7-11370H 3.3 Ghz,Nvidia Gforce NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,PixelSense™ Display 1600 * 2560,512 GB HDD,DDR4,Battery Capacity Nominal (WH): 58.0Battery Capacity Min (WH): 56.3,16 GB,1.8 kg,SSD,4 GB
Silver,"134,000,000 ","135,000,000",https://meghdadit.com/product/123570/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-2tb-ssd-4gb-rtx-305/,323.28 * 228.32 * 18.94 mm,INTEL i7-11370H 3.3 Ghz,Nvidia Gforce NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,PixelSense™ Display 1600 * 2560,2 TB HDD,DDR4,Battery Capacity Nominal (WH): 58.0Battery Capacity Min (WH): 56.3,32 GB,1.8 kg,SSD,4 GB
Silver,"119,300,000 ","120,300,000",https://meghdadit.com/product/123571/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-1tb-ssd-4gb-rtx-305/,323.28 * 228.32 * 18.94 mm,INTEL i7-11370H 3.3 Ghz,Nvidia Gforce NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,PixelSense™ Display 1600 * 2560,1 TB HDD,DDR4,Battery Capacity Nominal (WH): 58.0Battery Capacity Min (WH): 56.3,32 GB,1.8 kg,SSD,4 GB
Black,"72,500,000 ","73,500,000",https://meghdadit.com/product/121065/microsoft-surface-laptop-3-core-i7-32gb-1tb-ssd-intel-touch-15-inch-laptop/,,,Intel Intel Iris Plus Graphics,PixelSense™ Display 2256 * 1504,1 TB HDD,DDR4,,32 GB,1.2 kg,SSD,
Black,"49,300,000 ","50,300,000",https://meghdadit.com/product/122454/microsoft-surface-laptop-4-corei5-8gb-512gb-laptop/,308x223x14.5 mm,,Intel Intel® Iris® Xe,PixelSense™ Display 2256 * 1504,512 GB HDD,DDR4,Battery Capacity Nominal (WH) 47.4Battery Capacity Min (WH) 45.8,8 GB,1.2 kg,SSD,
Silver,"36,480,000 ","37,480,000",https://meghdadit.com/product/122195/microsoft-surface-laptop-4-ryzen5-8gb-256gb-laptop/,308x223x14.5 mm,,AMD Radeon AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,PixelSense™ Display 2256 * 1504,256 GB HDD,DDR4,Battery Capacity Nominal (WH) 47.4Battery Capacity Min (WH) 45.8,8 GB,1.2 kg,SSD,
Black,"82,300,000 ","83,300,000",https://meghdadit.com/product/122456/microsoft-surface-laptop-4-13-5inch-core-i7-1185g7-32gb-1tb-ssd-intel-touch-lapt/,308x223x14.5 mm,,Intel Intel® Iris® Xe,PixelSense™ Display 2256 * 1504,1 TB HDD,DDR4,Battery Capacity Nominal (WH) 47.4Battery Capacity Min (WH) 45.8,32 GB,1.2 kg,SSD,
Black,"56,888,000 ","57,888,000",https://meghdadit.com/product/122457/microsoft-surface-laptop-4-13-5inch-core-i7-1185g7-16gb-256gb-ssd-intel-touch-la/,308x223x14.5 mm,,Intel Intel® Iris® Xe,PixelSense™ Display 2256 * 1504,256 GB HDD,DDR4,Battery Capacity Nominal (WH) 47.4Battery Capacity Min (WH) 45.8,16 GB,1.2 kg,SSD,
Silver,"49,388,000 ","50,388,000",https://meghdadit.com/product/65453/microsoft-surface-book-2-core-i7-8gb-256gb-2gb-13inch-touch/,23~13 * 232 * 312 ميلي‌متر,INTEL i7-8650U 1.9 Ghz,Nvidia Gforce GeForce® GTX 1050 GDDR5,PixelSense™ Display 2000 * 3000,256 GB HDD,DDR3,تا 17:00 ساعت پخش ویدیو,8 GB,1.53 kg,SSD,2 GB 
Platinum Gray (Silver),"28,114,000 ","28,229,000",https://meghdadit.com/product/120427/asus-vivobook-r565ep-core-i5-1135g7-8gb-1tb-256gb-ssd-2gb-full-hd-laptop/,360.2×234.9×19.9 mm,,Nvidia Gforce NVIDIA Geforce MX330,Full HD 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,,8 GB,1.8 kg,SSDHDD,2 GB 
Black Gray,"42,249,000 ","42,499,000",https://meghdadit.com/product/121903/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,512 GB HDD,DDR4,,8 GB,2.3 kg,SSD,4 GB
Platinum Gray (Silver),"26,889,000 ","26,999,000",https://meghdadit.com/product/121684/asus-vivobook-r565ep-core-i5-1135g7-8gb-512gb-ssd-2gb-full-hd-laptop/,360.2×234.9×19.9 mm,,Nvidia Gforce NVIDIA Geforce MX330,Full HD 1080 * 1920,512 GB HDD,DDR4,,8 GB,1.8 kg,SSD,2 GB 
Black Gray,"44,789,000 ","44,899,000",https://meghdadit.com/product/121891/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,1 TB HDD,DDR4,,16 GB,2.3 kg,SSD,4 GB
Black Gray,"43,299,000 ","43,499,000",https://meghdadit.com/product/121892/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,512 GB HDD,DDR4,,16 GB,2.3 kg,SSD,4 GB
Black Gray,"47,474,000 ","47,599,000",https://meghdadit.com/product/121893/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,1 TB HDD,DDR4,,32 GB,2.3 kg,SSD,4 GB
Black Gray,"45,289,000 ","45,399,000",https://meghdadit.com/product/121894/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,512 GB HDD,DDR4,,32 GB,2.3 kg,SSD,4 GB
