branch_id,branch_name,count_sales,market_share,avg_sales_per_day,population,market_capacity,population_by_market_capacity
10,Tehran,152533,0.1500,35.0248,8693706,0.017545221796090183,495502769.9870585
5,Mashhad,101684,0.1000,23.3488,3001184,0.03388129484896627,88579377.30474806
9,Isfahan,101698,0.1000,23.3520,1961260,0.05185340036507143,37823170.441896595
4,Karaj,51078,0.0502,11.7286,1592492,0.03207425845781329,49650157.99490975
13,Shiraz,50939,0.0501,11.6967,1565572,0.032536989675339106,48116682.44731934
15,Tabriz,50795,0.0499,11.6636,1558693,0.0325882004987512,47829980.67229058
7,Ahvaz,50793,0.0499,11.6631,1184788,0.04287096088076517,27636142.87291556
2,Kermanshah,50904,0.0500,11.6886,946651,0.05377272088657805,17604669.884508096
14,Orumiyeh,50914,0.0501,11.6909,736224,0.0691555830834094,10645908.358722553
3,Rasht,50851,0.0500,11.6765,679995,0.07478143221641335,9093099.447896797
1,Hamedan,50984,0.0501,11.7070,554406,0.0919614867082968,6028675.914718343
6,Yazd,50762,0.0499,11.6560,529673,0.09583648779530012,5526840.686517474
8,Arak,50915,0.0501,11.6912,520994,0.09772665328199558,5331135.186801531
16,Zanjan,50676,0.0498,11.6363,430871,0.11761292823141961,3663466.30833136
12,Sari,50808,0.0500,11.6666,309830,0.16398670238517896,1889360.512124075
11,Kish,50747,0.0499,11.6526,39853,1.2733545780744235,31297.645358346304
