model_name,score,price
Legion 5 Pro,10.0,55500000
TUF Gaming F15 FX507ZM,10.0,62000000
TUF Dash F15 FX516PR,10.0,60500000
IdeaPad 5,10.0,31199000
TUF Dash F15 TUF516PE,10.0,52000000
VivoBook R565EP,9.0,33800000
mac,9.0,143500000
mac,9.0,140000000
mac,9.0,53599000
Spectre x360 16t F1023dx,9.0,84300000
mac,9.0,43000000
mac,9.0,63900000
TUF Gaming F15 FX506HC,9.0,43948000
Legion 5,9.0,59000000
ThinkBook 15 G2,9.0,33400000
LOQ 15IRH8,9.0,51150000
VivoBook R565JP,9.0,34590000
VivoBook Pro K6500ZC,9.0,55499000
VivoBook 16 R1605ZA,9.0,33500000
Victus 15-FA0005TG,9.0,35700000
VivoBook R565EP,9.0,36199000
G16 7620,9.0,79900000
Vostro 3520,9.0,39600000
ROG Strix G15 G513RM,9.0,65799000
VivoBook R565EA,9.0,16800000
IdeaPad 3,9.0,28640000
VivoBook 15 X1502ZA,9.0,18099000
IdeaPad 3,9.0,27850000
IdeaPad 3,9.0,16550000
IdeaPad Flex 5,9.0,39800000
ThinkBook 15 G2,9.0,31590000
IdeaPad 5,9.0,16199000
LOQ 15IRH8,9.0,57199000
آیدیاپد,9.0,36300000
surface,9.0,46830000
VivoBook 15 M1502QA,9.0,25850000
ROG Strix G17 G713RC,9.0,59499000
VivoBook Pro K6500ZH,8.0,36777000
ThinkBook 15,8.0,16600000
VivoBook Pro M7600QE,8.0,53750000
IdeaPad Gaming 3,8.0,48099000
Victus 16-D0019,8.0,48000000
IdeaPad 3,8.0,26200000
VivoBook 15 R1502ZA,8.0,32500000
VivoBook 15 K513EQ,8.0,36000000
TUF Dash F15 FX517ZM,8.0,67295000
TUF Gaming F17 FX707ZM,8.0,62499000
mac,8.0,96800000
TUF Gaming F15 FX506HC,8.0,43350000
ThinkBook 15 G2,8.0,16000000
VivoBook Pro 15 OLED M3500QC,8.0,39333000
surface,8.0,64300000
VivoBook R427FA,8.0,20000000
MateBook B3-520,8.0,21990000
TUF Dash F15 FX517ZR,8.0,69590000
IdeaPad Gaming 3,8.0,48450000
VivoBook Pro K6500ZC,8.0,55699000
ROG Strix Scar 15 G533ZW,8.0,111100000
surface,8.0,137800000
TUF Gaming F15 FX506HC,8.0,45000000
TUF Gaming F15 FX507ZM,8.0,59999000
IdeaPad 3,8.0,15900000
Aspire 5 A515-57G-71QJ,8.0,36400000
ROG Strix G15 G513RC,8.0,48500000
VivoBook X515EP,8.0,26699000
ThinkBook 15,8.0,17750000
mac,8.0,89900000
VivoBook 15 R1502ZA,8.0,28900000
TUF Dash F15 FX517ZM,8.0,61200000
surface,8.0,123000000
آیدیاپد,8.0,0
VivoBook 13 Slate T3300KA,8.0,26950000
VivoBook R565JP,8.0,28600000
surface,8.0,42400000
mac,8.0,68499000
ThinkBook 15 G2,8.0,25499000
mac,8.0,53795000
ThinkBook 15 G2,8.0,31500000
mac,8.0,91500000
IdeaPad Gaming 3,8.0,47230000
ROG Strix G15 G513RC,8.0,48000000
ROG Strix G16 G614JI,8.0,117699000
surface,8.0,42000000
Legion 5,8.0,43700000
surface,8.0,36000000
Vivobook X515EA,8.0,15299000
surface,8.0,59700000
VivoBook R565EA,8.0,31000000
Vivobook X515EA,8.0,15000000
ROG Strix G15 G513RC,8.0,48999000
mac,8.0,102990000
mac,8.0,120500000
ZenBook 14 OLED UX3402,8.0,65500000
surface,8.0,64000000
VivoBook 15 K513EQ,8.0,31100000
surface,8.0,58712000
mac,8.0,92999000
surface,8.0,91899000
TUF Gaming A15 FA507RE,8.0,50600000
VivoBook R565EP,8.0,26500000
V15 G2,8.0,15799000
surface,8.0,50300000
mac,8.0,86950000
