CPU,GPU,RAM,manufacturer,OS,category,screen,storage,weight
187519,15230,554032.0,261538.0,895379.0,594157.0,312665.0,388120.0,16201
32324,215035,286638.0,222454.0,10879.0,95945.0,37941.0,175421.0,9454
96749,19281,114132.0,69968.0,16004.0,161515.0,102940.0,4907.0,12670
1638,50467,36909.0,225310.0,32665.0,154026.0,39629.0,129611.0,14488
132430,38054,17328.0,3333.0,15093.0,6887.0,82936.0,53374.0,7027
846,1638,3765.0,115530.0,38590.0,5675.0,86614.0,6655.0,22835
97132,7405,4103.0,35287.0,4875.0,,4513.0,65123.0,124413
69000,846,1204.0,43303.0,2785.0,,8520.0,83941.0,20692
4864,93688,94.0,17878.0,1935.0,,67074.0,10741.0,48343
3311,66111,,4606.0,,,13744.0,21923.0,11252
50616,124458,,1682.0,,,15723.0,17878.0,16425
41708,6598,,4681.0,,,4171.0,31456.0,10935
3621,10403,,5209.0,,,31115.0,1062.0,27149
55119,12358,,2717.0,,,16680.0,919.0,28969
6129,5899,,1089.0,,,34686.0,6993.0,3576
16283,10468,,544.0,,,6751.0,1004.0,19791
620,7640,,1931.0,,,6290.0,6389.0,11084
1770,18070,,726.0,,,1682.0,1528.0,4355
6751,18810,,419.0,,,25345.0,3037.0,15621
8013,538,,,,,4069.0,802.0,11179
805,3343,,,,,4681.0,3020.0,4124
33857,6435,,,,,2179.0,1466.0,1419
3093,6751,,,,,16362.0,934.0,6987
805,3200,,,,,9039.0,272.0,2980
2650,2970,,,,,2914.0,829.0,12777
4681,5556,,,,,2838.0,185.0,14607
44106,15873,,,,,1935.0,311.0,23478
7268,16559,,,,,4797.0,105.0,19585
6418,21166,,,,,645.0,91.0,14894
2179,8777,,,,,3400.0,108.0,2072
2627,2787,,,,,5441.0,,836
5693,1647,,,,,3605.0,,519
4674,26296,,,,,799.0,,5328
13974,22568,,,,,9178.0,,3757
3938,7291,,,,,3133.0,,6751
2824,859,,,,,3758.0,,3404
4737,2192,,,,,5855.0,,2200
1935,4588,,,,,1179.0,,38577
1646,16780,,,,,2785.0,,5516
442,2838,,,,,2032.0,,9887
3605,7522,,,,,1931.0,,21597
4080,8766,,,,,1089.0,,10404
3037,8918,,,,,2632.0,,2272
1465,11886,,,,,679.0,,5367
3305,8041,,,,,1265.0,,15810
4689,3605,,,,,1120.0,,21429
1179,1396,,,,,3320.0,,4126
103,1997,,,,,202.0,,4504
495,1412,,,,,2576.0,,18181
1551,9927,,,,,2493.0,,1156
109,1480,,,,,2143.0,,8456
9715,6459,,,,,1424.0,,9122
819,211,,,,,1631.0,,824
2262,7318,,,,,501.0,,4599
2785,3380,,,,,594.0,,4681
506,4071,,,,,1175.0,,8383
114,422,,,,,544.0,,2308
518,4156,,,,,835.0,,3189
1606,2602,,,,,838.0,,990
1034,1436,,,,,101.0,,21666
1035,1128,,,,,538.0,,2087
815,1146,,,,,336.0,,3699
845,114,,,,,206.0,,11079
1142,2073,,,,,76.0,,7930
235,1515,,,,,91.0,,6138
780,1051,,,,,114.0,,4411
779,1799,,,,,108.0,,7650
796,1347,,,,,,,11822
1587,1403,,,,,,,6021
86,2225,,,,,,,5025
835,838,,,,,,,5850
94,502,,,,,,,1935
99,409,,,,,,,835
83,845,,,,,,,5665
426,1142,,,,,,,3955
98,1117,,,,,,,10578
76,308,,,,,,,1325
220,235,,,,,,,3037
106,835,,,,,,,7257
105,94,,,,,,,9635
91,85,,,,,,,11658
100,385,,,,,,,1915
