url,Title,Manufacturer,Model_Name,Category,Screen_Size,Screen,CPU,RAM,HDD,SSD,GPU,OS,OS_Version,Weight,Price,Available,Score,Quantity,Number_of_sellers,Discount
/product-11297/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-15.6-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-thinkbook-15-g2itl-12gb-256gb-ssd-1tb-hdd,لپ تاپ لنوو 15.6 اینچی مدل ThinkBook 15 G2ITL 12GB 256GB SSD 1TB HDD,Lenovo,,,"15.6 اینچ
","Full HD
","۱۱۱۵G۴
",12 گیگابایت,1 ترابایت ,256 گیگابایت ,"Intel
",,,"۱.۷ کیلوگرم
","19,100,000",1,5.0,,0,
/product-25278/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-rog-strix-g614jv-i7-13650h-16gb-1tb-ssd-rtx-4060-,لپ تاپ ایسوس 16 اینچی مدل ROG Strix G614JV i7 13650H 16GB 1TB SSD RTX 4060 ,Asus,,ROG,16 اینچ,"1200x1920 پیکسل - FHD+
",13650HX,16 گیگابایت,ندارد ,1 ترابایت ,NVIDIA,,,2.5 کیلوگرم,"72,350,000",1,,,4,
/product-15321/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-15.6-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-vivobook-pro-15-m6500qh-hn075-ryzen-5-8gb-512gb-ssd,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook Pro 15 M6500QH-HN075 Ryzen 5 8GB 512GB SSD,Asus,,,15.6 اینچ ,Full HD - ۱۹۲۰x۱۰۸۰,۵۶۰۰H,8 گیگابایت,ندارد ,512 گیگابایت ,NVIDIA,,,"۱.۸ کیلوگرم

","33,000,000",1,,,0,
/product-23926/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-15.6-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-tuf-gaming-f15-fx506hf-hn014-i5-11400h-32gb-1tb-ssd-,لپ تاپ ایسوس 15.6 اینچی مدل TUF Gaming F15 FX506HF-HN014 i5 11400H 32GB 1TB SSD ,Asus,,TUF GAMING,15.6 اینچ ,1920x1080 پیکسل - Full HD,11400H ,32 گیگابایت,ندارد ,1 ترابایت,NVIDIA,,,2.3 کیلوگرم ,"42,500,000",1,,,2,
/product-8573/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-15.6-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-rog-strix-g513rc-hn138,لپ تاپ 15.6 اینچی ایسوس مدل ROG Strix G513RC-HN138,Asus,,ROG,15.6 اینچ,1080x1920 پیکسل ,6800H,16 گیگابایت,ندارد ,1 ترابایت ,NVIDIA,,,2.1 کیلوگرم,"52,800,000",1,,,3,
/product-15336/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D8%B1-16.0-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-aspire-5-a515-56g-i3-4gb-1tb-hdd,لپ تاپ ایسر 16.0 اینچی Aspire 5 A515-56G i3 4GB 1TB HDD,Acer,,,15.6 اینچ,"1080x1920 - FULL HD

",1115G4,4 گیگابایت,1 ترابایت,ندارد,NVIDIA,,,1.65 کیلوگرم,"17,800,000",1,4.0,,0,"2,400,000تومان تخفیف"
/product-15988/-%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-15.6-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DA%86%E2%80%8C%D9%BE%DB%8C-%D9%85%D8%AF%D9%84-victus-15-i5-12450-8gb-256gb-, لپ تاپ 15.6 اینچی اچ‌پی مدل Victus 15-i5 12450 8GB 256GB ,,,Victus 15,15.6 اینچ ,"Full HD 1080x1920
","۱۲۴۵۰H
",8 گیگابایت,ندارد ,256 گیگابایت ,NVIDIA,,,2.2 کیلوگرم,"35,700,000",1,,,0,
/product-23866/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-15.6-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-rog-strix-scar-15-g533zm-i9-16gb-1tb-ssd-6gb-rtx3060,لپ تاپ ایسوس 15.6 اینچی مدل ROG Strix SCAR 15 G533ZM i9 16GB 1TB SSD 6GB RTX3060,Asus,,ROG,15.6 اینچ ,1920x1080 پیکسل - Full HD,12900H,"16 گیگابایت
",ندارد,"1 ترابایت
",NVIDIA,,,2.3 کیلوگرم,"72,999,000",1,5.0,,0,
/product-11310/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-15.6-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-tuf-dash-f15-fx517ze-hn069,لپ تاپ ایسوس 15.6 اینچی مدل TUF Dash F15 FX517ZE-HN069,Asus,,TUF GAMING,15.6 اینچ,1920x1080 پیکسل - Full HD,12650H,16 گیگابایت,ندارد,512 گیگابایت,NVIDIA,,,2.0 کیلوگرم,"56,900,000",1,4.0,,0,
/product-15145/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-15.6-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-ideapad-3-15itl6-i5-12gb-512gb-ssd-nos,لپ تاپ لنوو 15.6 اینچی مدل IdeaPad 3 15ITL6 i5 12GB 512GB SSD NOS,Lenovo,,Ideapad 3,15.6 اینچ ,,1135G7,12 گیگابایت,ندارد ,512 گیگابایت ,NVIDIA,,,1.65 کیلوگرم,"27,200,000",1,,,2,
