url,Title,Manufacturer,Model_Name,Screen_Size,Resolution,CPU,RAM,RAM_type,Storage,Storage_type,GPU,GPU_RAM,Size,Weight,Score,Battery_life,Price
https://www.zoomit.ir/product/microsoft-surface-laptop-go-core-i5-1035g1-uhd-8gb-256gb/,لپ تاپ سرفیس لپ تاپ گو مایکروسافت - Core i5-1035G1 UHD 8GB 256GB,,,12.4 اینچ,1024×1536,اینتل Core i5-1035G1,8 گیگابایت,LPDDR4X,256 گیگابایت,SSD,,,15.69 × 205.67 × 278.18 میلی‌متر,1.110 گرم,7,," 32,988,000 "
https://www.zoomit.ir/product/acer-aspire-3-a315-59g-35xq-core-i3-1215u-mx550-4gb-256gb/,لپ تاپ Aspire 3 A315-59G-35XQ ایسر - Core i3-1215U MX550 4GB 256GB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i3-1215U,4 گیگابایت,DDR4,256 گیگابایت,SSD,انویدیا GeForce MX550,2 گیگابایت از نوع GDDR6,19.9 × 238.4 × 363.4 میلی‌متر,1.78 کیلوگرم,6,باتری 3 سلولی با ظرفیت 40 وات‌ساعت," 23,500,000 "
https://www.zoomit.ir/product/asus-tuf-dash-f15-fx517zr-core-i7-12650h-rtx-3070-32gb-1tb/,لپ تاپ TUF Dash F15 FX517ZR ایسوس - Core i7-12650H RTX 3070 32GB 1TB, TUF Dash F15 FX517ZR,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i7-12650H,32 گیگابایت,DDR5,1 ترابایت,SSD,انویدیا GeForce RTX 3070,8 گیگابایت از نوع GDDR6,19.9 × 251 × 354 میلی‌متر,2.0 کیلوگرم,7,باتری 4 سلولی با ظرفیت 76 وات‌ساعت," 66,199,000 "
https://www.zoomit.ir/product/asus-rog-strix-g17-g713rc-ryzen-7-6800h-rtx-3050-16gb-1tb/,لپ تاپ ROG Strix G17 G713RC ایسوس - Ryzen 7 6800H RTX 3050 16GB 1TB, ROG Strix G17 G713RC 2022,ASUS,17.3 اینچ,1080×1920 - FHD,AMD Ryzen 7 6800H,16 گیگابایت,DDR5,1 ترابایت,PCIe NVMe,انویدیا GeForce RTX 3050,4 گیگابایت از نوع GDDR6 و 128 بیت,26.5 × 282 × 395 میلی‌متر,2.5 کیلوگرم,7,باتری 4 سلولی با ظرفیت 56 وات‌ساعت," 53,999,000 "
https://www.zoomit.ir/product/lenovo-v15-g2-core-i5-1135g7-mx350-8gb-1256gb/,لپ تاپ V15 G2 لنوو - Core i5-1135G7 MX350 8GB 1256GB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i5-1135G7,8 گیگابایت,DDR4,1256 گیگابایت (1 ترابایت HDD و 256 گیگابایت SSD),هیبریدی (SSD و HDD),انویدیا GeForce MX350,2 گیگابایت,19.9 × 251.5 × 362.2 میلی‌متر,1.85 کیلوگرم,7,باتری 2 سلولی با ظرفیت 38 وات‌ساعت," 25,795,000 "
https://www.zoomit.ir/product/asus-vivobook-pro-k6500zh-core-i5-12500h-gtx-1650-8gb-512gb/,لپ تاپ VivoBook Pro K6500ZH ایسوس - Core i5-12500H GTX 1650 8GB 512GB, VivoBook Pro K6500ZH,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i5-12500H,8 گیگابایت,DDR5,512 گیگابایت,SSD,انویدیا GeForce GTX 1650 Max-Q,4 گیگابایت از نوع GDDR6,18.9 × 234.3 × 359.8 میلی‌متر,1.8 کیلوگرم,8,باتری 3 سلولی با ظرفیت 50 وات‌ساعت," 36,777,000 "
https://www.zoomit.ir/product/asus-vivobook-r565ep-core-i7-1165g7-mx330-16gb-512gb/,لپ تاپ VivoBook R565EP ایسوس - Core i7-1165G7 MX330 16GB 512GB, VivoBook R565EP,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i7-1165G7,16 گیگابایت,DDR4-2666,512 گیگابایت,SSD,انویدیا GeForce MX330,2 گیگابایت از نوع GDDR5 و 64 بیت,19.9 × 234.9 × 360.2 میلی‌متر,1.8 کیلوگرم,9,باتری 2 سلولی با ظرفیت 37 وات‌ساعت," 33,800,000 "
https://www.zoomit.ir/product/microsoft-surface-pro-8-core-i7-1185g7-iris-xe-16gb-256gb/,لپ تاپ سرفیس پرو 8 مایکروسافت - Core i7-1185G7 Iris Xe 16GB 256GB,,,13 اینچ,1920×2880,اینتل Core i7-1185G7,16 گیگابایت,LPDDR4x,256 گیگابایت,SSD,,,9.3 × 208 × 287 میلی‌متر,0.89 کیلوگرم,7,," 52,899,000 "
https://www.zoomit.ir/product/lenovo-thinkbook-15-core-i3-1115g4-uhd-8gb-256gb/,لپ تاپ ThinkBook 15 لنوو - Core i3-1115G4 UHD 8GB 256GB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i3-1115G4,8 گیگابایت,DDR4-3200,256 گیگابایت,SSD,,,18.9 × 245 × 364 میلی‌متر,1.7 کیلوگرم,8,باتری 3 سلولی با ظرفیت 45 وات‌ساعت," 16,600,000 "
https://www.zoomit.ir/product/apple-macbook-pro-14-2021-m1-max-32gb-2tb/,لپ تاپ مک بوک پرو 14 اینچی 2021 اپل - M1 Max 32GB 2TB,,,14.2 اینچ,1964×3024,پردازنده 10 هسته‌ای اپل M1 MAX به همراه موتور پردازش عصبی 16 هسته‌ای,32 گیگابایت,,2 ترابایت,SSD,,,15.5 × 221.2 × 312.6 میلی‌متر,1.6 کیلوگرم,9,باتری لیتیوم پلیمری با ظرفیت 70 وات‌ساعت," 143,500,000 "
